conversation_id_str;created_at;full_text;category;jenis_program
1,75484E+18;Mon Apr 29 07:11:24 +0000 2024;Program-program Ganjar Pranowo pr3siden Rakyatt memberikan harapan baru bagi keluarga miskin untuk mencapai kehidupan yang lebih baik . Ganjar Pranowo hanya yang terbaik untuk rakyat @ree_youri #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/N30hbAYI9C;1.0;Program Keluarga Harapan (PKH)
1,7559E+18;Mon Apr 29 01:29:36 +0000 2024;Ganjar telah menghadirkan harapan baru bagi keluarga miskin dengan program 1 Keluarga Miskin 1 Sarjana. Ganjar Pranowo terbukti mensejahterakan @girlfriendming1 #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/g7nLDTl8xJ;1.0;Program Keluarga Harapan (PKH)
1,77898E+18;Sat Apr 27 14:20:02 +0000 2024;PEUNAYONG Banda Aceh: Pendamping PKH Adakan Sosialisasi Program Keluarga Harapan di Peunayong https://t.co/2XG4EEk90s;1.0;Program Keluarga Harapan (PKH)
1,75221E+18;Sat Apr 27 04:39:09 +0000 2024;Ganjar Pranowo pr3siden Rakyatt memberikan harapan baru bagi generasi muda dengan program 1 Keluarga Miskin 1 Sarjana. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @plupiophil #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/X9NjiS8Kzs;1.0;Program Keluarga Harapan (PKH)
1,75435E+18;Fri Apr 26 08:10:38 +0000 2024;Program beasiswa 1 Keluarga Miskin 1 Sarjana menciptakan gelombang harapan baru membuka mata anak-anak miskin terhadap peluang besar di depan mereka . Ganjar Pranowo hanya yang terbaik untuk rakyat @syahzmi_mahdir #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/B9MALVRcpf;1.0;Program Keluarga Harapan (PKH)
1,79022E+18;Tue Apr 23 15:58:25 +0000 2024;Patroli dialogis unit Binmas Polsek Pancoran Kel Rawajati Aiptu Nur Cholis monitoring pembagian beras Program Keluarga Harapan di Kel Rawajti untuk menciptakan situasi yg aman dan kondusif. https://t.co/KOmA9GG4VC;1.0;Program Keluarga Harapan (PKH)
1,75509E+18;Mon Apr 22 07:38:39 +0000 2024;Meskipun mengalami banyak kendala cuaca di wilayah terluar terdepan tertinggal Pos Indonesia menjaga komitmen menjalani amanah pemerintah dlalm melakukan penyaluran dana bansos Program Keluarga Harapan dan sembako. @PosIndonesia #PosIndonesia #PosIND https://t.co/AMG6D234DK;1.0;Program Keluarga Harapan (PKH)
1,75222E+18;Sun Apr 14 07:38:20 +0000 2024;Selamat siang Sobat #InTress Tahukah kamu bantuan sosial (bansos) Program Keluarga Harapan (PKH) dan bansos Sembako untuk triwulan I 2024 telah hampir 100% disalurkan? Bansos PKH telah dijalankan sejak tahun 2007 sebagai bagian dari upaya percepatan penanggulangan kemiskinan. https://t.co/2vwyc1a2PR;1.0;Program Keluarga Harapan (PKH)
1,7559E+18;Sat Apr 13 03:01:14 +0000 2024;MALANGÂ - Bupati Malang Drs. H. M. Sanusi M M hadiri Rapat Koordinasi SDM Program Keluarga Harapan (PKH) Kabupaten Malang Tahun 2024 yang bertempat di Pendopo Agung Kabupaten Malang pada Rabu (8/5) malam. https://t.co/SqgS3FEhGa;1.0;Program Keluarga Harapan (PKH)
1,75221E+18;Sat Apr 13 01:51:30 +0000 2024;Melalui langkah luar biasa Ganjar - Mahfud program 1 keluarga miskin 1 sarjana memberikan harapan baru dan semangat untuk menang atas keterbatasan pendidikan di Papua. @RawiriTaonui #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/ZZErDvsuNC;1.0;Program Keluarga Harapan (PKH)
